pc,tool_1,version_1,contract,type,property
2392.0,securify,0,0xb97768a8e31789dbece1403694e53c2142c3d706,Violation,RestrictedWrite
2651.0,securify,0,0xb97768a8e31789dbece1403694e53c2142c3d706,Violation,RestrictedWrite
2656.0,securify,0,0xb97768a8e31789dbece1403694e53c2142c3d706,Violation,RestrictedWrite
2667.0,securify,0,0xb97768a8e31789dbece1403694e53c2142c3d706,Violation,RestrictedWrite
2691.0,securify,0,0xb97768a8e31789dbece1403694e53c2142c3d706,Violation,RestrictedWrite
2707.0,securify,0,0xb97768a8e31789dbece1403694e53c2142c3d706,Violation,RestrictedWrite
2727.0,securify,0,0xb97768a8e31789dbece1403694e53c2142c3d706,Violation,RestrictedWrite
2755.0,securify,0,0xb97768a8e31789dbece1403694e53c2142c3d706,Violation,RestrictedWrite
2551.0,securify,0,0xb97768a8e31789dbece1403694e53c2142c3d706,Violation,RestrictedWrite
2556.0,securify,0,0xb97768a8e31789dbece1403694e53c2142c3d706,Violation,RestrictedWrite
2567.0,securify,0,0xb97768a8e31789dbece1403694e53c2142c3d706,Violation,RestrictedWrite
949.0,securify,0,0x82df5022fbcfdd877830371d7713f0181a554c9c,Safety,TimestampDepend
435.0,securify,0,0x33098a5e8f5e932831434748cdad425487b9aaf1,Safety,TimestampDepend
1055.0,securify,0,0x142eba6cd4e1977fba4a440c882ee460654d1766,Violation,RestrictedWrite
240.0,securify,0,0x931d84b85da4f377ac977e1f78603af166c224f4,Safety,TimestampDepend
290.0,securify,0,0x931d84b85da4f377ac977e1f78603af166c224f4,Safety,TimestampDepend
492.0,securify,0,0x931d84b85da4f377ac977e1f78603af166c224f4,Safety,TimestampDepend
539.0,securify,0,0x931d84b85da4f377ac977e1f78603af166c224f4,Safety,TimestampDepend
2256.0,securify,0,0x949bEd886c739f1A3273629b3320db0C5024c719,Safety,TimestampDepend
737.0,securify,0,0x750241c16c9fb878a7afd2b07b80f53e02c3f634,Violation,RestrictedWrite
756.0,securify,0,0x750241c16c9fb878a7afd2b07b80f53e02c3f634,Violation,RestrictedWrite
