tool_1,contract,property,type,matches_1,count_1,tool_2,matches_2,count_2
securify,0x3c087f2684706b78a1c558e26e2735a4f8ddbb2a,RestrictedWrite,Violation,"[504.0, 551.0]",2.0,horstify,[],0.0
securify,0xe120100349a0b1BF826D2407E519D75C2Fe8f859,RestrictedWrite,Violation,"[154.0, 464.0, 503.0, 235.0]",4.0,horstify,[],0.0
securify,0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,TimestampDepend,Safety,"[2282.0, 2805.0, 4161.0, 1998.0, 3727.0]",5.0,horstify,[],0.0
securify,0xb94f85ea35987648bb460a96a34f56ac1a6cc6f7,RestrictedWrite,Violation,"[504.0, 551.0]",2.0,horstify,[],0.0
securify,0xf4cae4aec9b4d7682f8cee4d9a273ba063e71366,RestrictedWrite,Violation,"[2215.0, 2230.0, 2248.0, 2264.0, 2279.0]",5.0,horstify,[],0.0
securify,0x3398080b81a1cff1429af347ce2b17fc28de3937,TimestampDepend,Safety,"[221.0, 309.0, 397.0, 485.0, 573.0, 661.0, 877.0, 1069.0]",8.0,horstify,[877.0],0.0
securify,0xa850E6f693B9bCB31df3eE44e7888EF19E608107,TimestampDepend,Safety,[660.0],1.0,horstify,[],0.0
securify,0xe7f4f5abba4a0ae18eaa31796876d137e19b93ad,TimestampDepend,Safety,[144.0],1.0,horstify,[],0.0
securify,0xe7f4f5abba4a0ae18eaa31796876d137e19b93ad,RestrictedWrite,Violation,"[278.0, 303.0]",2.0,horstify,[],0.0
securify,0x43bbc7fafb860d974037b8f7dd06b6f6fe799b3e,TimestampDepend,Safety,[729.0],1.0,horstify,[],0.0
securify,0x5385d02f3a254ca716c144c7c333553a2e6ec931,TimestampDepend,Safety,[1412.0],1.0,horstify,[],0.0
securify,0x2bcca955c9200c9a5f888bc2b14b91aaa56cd5c5,TimestampDepend,Safety,"[174.0, 1523.0, 1630.0, 1683.0, 1786.0, 1143.0, 1250.0, 1303.0, 1427.0, 445.0, 700.0, 973.0, 1013.0]",13.0,horstify,[],0.0
securify,0x86ca39d10dacdf1cfe490eb984bf0e7c17d1ed37,RestrictedWrite,Violation,"[505.0, 593.0]",2.0,horstify,[],0.0
