Tool,Total Number of Contracts,Errors,Timeouts,Avg Total Time,Avg Souffle Time,Avg Total Time(Intersection),Avg Souffle Time(Intersection)
0x39aa4006ee5941c0c0e41b924fdafcb2c4c918e8,720,34,9,7409.745937961596,406.26587887740027,6300.014925373134,344.05223880597015
0x300551c319d530e5867ff8e8082946a3bc10978f,720,34,9,12790.418020679468,5835.781388478582,11772.291044776119,5323.383582089552
