Tool,Total Number of Contracts,Errors,Timeouts,Avg Total Time,Avg Souffle Time,Avg Total Time(Intersection),Avg Souffle Time(Intersection)
securify,720,34,58,1490.7691082802548,166.1751592356688,1419.8099838969404,147.70692431561997
horstify,720,34,46,7055.19375,2251.64375,6304.597423510467,1845.148148148148
