tool_1,contract,property,type,matches_1,count_1,tool_2,matches_2,count_2
securify,0xdc84953d7c6448e498eb3c33ab0f815da5d13999,RestrictedWrite,Violation,"[422.0, 566.0, 576.0, 698.0, 709.0, 720.0, 784.0, 795.0, 895.0, 961.0, 1028.0]",11.0,horstify,"[576.0, 784.0, 720.0, 961.0, 709.0, 422.0, 566.0, 698.0, 795.0, 895.0]",10.0
securify,0x5624eed6e0ebef05eb9edd4c24d5abc08e181e71,TimestampDepend,Safety,"[712.0, 780.0, 928.0]",3.0,horstify,"[928.0, 712.0]",2.0
securify,0xdcf14a9cba1d5ee6d4671c20c559373f331910ea,TimestampDepend,Safety,"[2302.0, 2981.0, 3630.0]",3.0,horstify,[2302.0],1.0
securify,0x993bbc77c48ca648659129602dd507a96bc5b561,TimestampDepend,Safety,"[171.0, 248.0, 298.0, 385.0, 500.0, 547.0]",6.0,horstify,"[385.0, 171.0]",2.0
securify,0x3d5894b6801221bf296a2ac2d6ccf5ea09ce399a,RestrictedWrite,Violation,"[220.0, 303.0, 314.0, 793.0, 843.0, 396.0, 332.0]",7.0,horstify,[],0.0
securify,0x488b7b5ed8ee6fa28c0cb3a0ee7351573070601d,TimestampDepend,Safety,"[439.0, 484.0, 536.0, 590.0, 946.0]",5.0,horstify,[439.0],1.0
securify,0x488b7b5ed8ee6fa28c0cb3a0ee7351573070601d,RestrictedWrite,Violation,"[646.0, 696.0, 703.0, 801.0, 853.0, 860.0]",6.0,horstify,"[646.0, 696.0, 703.0]",3.0
securify,0x51cfc0d9bcf4ba234d442e3200b97d660e02d41f,TimestampDepend,Safety,"[163.0, 240.0, 290.0, 377.0, 492.0, 539.0]",6.0,horstify,"[163.0, 377.0]",2.0
securify,0x408b8fBc19bB5FFfF7d5E5c430F765524FAE77c5,TimestampDepend,Safety,"[163.0, 240.0, 290.0, 377.0, 492.0, 539.0]",6.0,horstify,"[163.0, 377.0]",2.0
securify,0xd8d4E59fabb7D8A1D013D577689cB612A8e5F826,TimestampDepend,Safety,"[339.0, 1846.0, 3116.0, 3360.0, 1953.0, 1471.0, 2084.0]",7.0,horstify,"[3360.0, 339.0, 1846.0, 3116.0, 1471.0]",5.0
securify,0x89205a3a3b2a69de6dbf7f01ed13b2108b2c43e7,RestrictedWrite,Violation,[333.0],1.0,horstify,[],0.0
securify,0x943bbeEf41460a3F0f3Ac7f7a062128ad0Ba9cB1,TimestampDepend,Safety,"[172.0, 514.0, 597.0, 680.0]",4.0,horstify,"[514.0, 172.0]",1.0
securify,0x943bbeEf41460a3F0f3Ac7f7a062128ad0Ba9cB1,RestrictedWrite,Violation,"[252.0, 259.0]",2.0,horstify,[259.0],1.0
securify,0x2f5cd5d797ec8868a5aaefd784ed2c5bc46a1a47,RestrictedWrite,Violation,"[714.0, 778.0, 789.0, 854.0, 891.0, 908.0, 916.0, 933.0]",8.0,horstify,"[789.0, 854.0, 714.0, 778.0]",4.0
securify,0xdcb13fa157eebf22ddc8c9aa1d6e394810de6fa3,RestrictedWrite,Violation,"[447.0, 514.0, 525.0, 590.0, 629.0, 640.0, 648.0, 710.0]",8.0,horstify,"[514.0, 525.0, 590.0, 447.0]",4.0
securify,0x143E8bD26D95b230680C25300F93eF56F86eCCAC,RestrictedWrite,Violation,"[368.0, 379.0, 445.0, 452.0, 625.0, 683.0, 694.0]",7.0,horstify,"[368.0, 625.0, 452.0, 379.0, 445.0]",5.0
securify,0x45e42d659d9f9466cd5df622506033145a9b89bc,TimestampDepend,Safety,"[1290.0, 1358.0, 1530.0]",3.0,horstify,"[1530.0, 1290.0]",2.0
securify,0x45e42d659d9f9466cd5df622506033145a9b89bc,RestrictedWrite,Violation,"[540.0, 632.0]",2.0,horstify,[],0.0
securify,0x9448b35b4c9eea695dedff285e0cd8bc6c65e2b1,RestrictedWrite,Violation,"[253.0, 464.0, 488.0, 673.0, 1382.0, 1203.0, 1488.0, 1312.0, 1324.0, 1508.0]",10.0,horstify,"[464.0, 1488.0, 673.0, 1203.0, 488.0, 1324.0, 253.0]",7.0
securify,0x5e49ec3fbd55e7b86a5a5b1a32c73aa44b42b4af,RestrictedWrite,Violation,"[785.0, 849.0, 890.0, 897.0, 904.0, 911.0, 921.0]",7.0,horstify,[785.0],1.0
securify,0x0e08f0daee46e772eee7999c5b6d7d0401d8d72b,TimestampDepend,Safety,"[128.0, 201.0]",2.0,horstify,[201.0],1.0
